公司名稱,股票代號,非主管年薪中位數(萬)
京晨科,6419,78.4
潤隆,1808,78.3
台翰,1336,78.2
中砂,1560,78.2
凱美,2375,78.2
岱稜,3303,78.2
立端,6245,78.2
中石化,1314,78.1
欣銓,3264,78.1
健亞,4130,78.1
中保科,9917,78.1
寶徠,1805,78
聚和,6509,78
榮群,8034,78
譁裕,3419,77.9
銘旺實,4432,77.9
富采,3714,77.8
龍邦,2514,77.7
宇環,3276,77.7
易發,6425,77.7
國精化,4722,77.5
聚鼎,6224,77.4
達爾膚,6523,77.4
緯穎,6669,77.4
弘帆,8433,77.4
全坤建,2509,77.3
連展投控,3710,77.3
日友,8341,77.3
中化控股,3716,77.2
銳澤,7703,77.2
生達,1720,77.1
尚立,3360,77.1
鼎基,6585,77.1
隆銘綠能,3018,77
科際精密,4568,77
凱衛,5201,77
葡萄王,1707,76.9
威致,2028,76.8
萬泰科,6190,76.8
曜亞,4138,76.7
中磊,5388,76.7
光隆,8916,76.7
同欣電,6271,76.5
醫影,6637,76.5
蜜望實,8043,76.5
南電,8046,76.4
東哥遊艇,8478,76.4
聲寶,1604,76.3
宏盛,2534,76.3
上品,4770,76.3
承業醫,4164,76.2
德淵,4720,76.2
德記,5902,76.2
彩晶,6116,76.2
明基材,8215,76.2
成霖,9934,76.2
三商電,2427,76.1
建舜電,3322,76.1
建新國際,8367,76.1
茂矽,2342,76
佰鴻,3031,76
黑松,1234,75.9
宜進,1457,75.9
聯亞,3081,75.7
歐買尬,3687,75.7
晶達,4995,75.7
飛捷,6206,75.6
凌巨,8105,75.6
陸海,5603,75.5
日揚,6208,75.5
天瀚,6225,75.5
天虹,6937,75.5
日電貿,3090,75.3
富邦媒,8454,75.3
久昌,6720,75.2
好德,3114,75.1
帝寶,6605,75.1
八方雲集,2753,75
鈺緯,4153,75
安鈦克,6276,74.9
太空梭,2440,74.8
根基,2546,74.8
伍豐,8076,74.8
全新,2455,74.7
合一,4743,74.7
穩得,6761,74.6
茂訊,3213,74.4
正瀚-創,6534,74.4
復盛應用,6670,74.4
永豐實,6790,74.4
達邁,3645,74.3
協易機,4533,74.3
其陽,3564,74.2
尼得科超眾,6230,74.2
富爾特,6136,74.1
榮成,1909,74
單井,3490,74
朋程,8255,74
常珵,8097,73.9
寶成,9904,73.9
龍巖,5530,73.8
信音,6126,73.8
上洋,6728,73.8
匯鑽科,8431,73.8
永記,1726,73.7
匯僑,2904,73.7
禾伸堂,3026,73.7
融程電,3416,73.7
醣聯,4168,73.7
泰銘,9927,73.5
大恭,4706,73.4
綠茵,6846,73.4
聯華,1229,73.3
久裕,4173,73.3
德麥,1264,73.2
遠百,2903,73.2
明達醫,6527,73.2
系統電,5309,73.1
森田,8410,73.1
全家,5903,73
東泥,1110,72.9
味全,1201,72.9
川湖,2059,72.9
大洋,1321,72.8
易通展,6241,72.8
康霈*,6919,72.7
昇陽半導體,8028,72.7
正淩,8147,72.6
惠普,8424,72.6
彬台,3379,72.5
盈正,3628,72.4
台特化,4772,72.4
同致,3552,72.3
方方土昶,6265,72.3
霈方,6574,72.3
麗清,3346,72.1
漢科,3402,72.1
新鉅科,3630,72.1
研勤,3632,72.1
寶島科,5312,72.1
昇達科,3491,72
健策,3653,72
南港,2101,71.9
龍德造船,6753,71.9
力新,5202,71.8
大量,3167,71.7
御嵿,3522,71.7
今展科,6432,71.7
高端疫苗,6547,71.7
金像電,2368,71.6
